uik;okrug;tik;voters;voted;turnout;leader;leader_pct;triggers
2403;Жигулевский;Приволжская;1572;1545;98.28;Трифонов;94.05;явка>=95 и лидер>=90
2404;Жигулевский;Приволжская;648;628;96.91;Трифонов;94.11;явка>=95 и лидер>=90
2405;Жигулевский;Приволжская;138;136;98.55;Трифонов;94.85;"явка>=95 и лидер>=90; у оппозиции ровно 1 голос"
2406;Жигулевский;Приволжская;114;112;98.25;Трифонов;94.64;"явка>=95 и лидер>=90; у оппозиции ровно 1 голос"
2407;Жигулевский;Приволжская;117;115;98.29;Трифонов;96.52;"явка>=95 и лидер>=90; у оппозиции ровно 1 голос"
2408;Жигулевский;Приволжская;66;65;98.48;Трифонов;95.38;явка>=95 и лидер>=90
2409;Жигулевский;Приволжская;350;329;94.0;Трифонов;94.83;"явка=точное 94%; у оппозиции ровно 1 голос"
2410;Жигулевский;Приволжская;872;846;97.02;Трифонов;93.97;явка>=95 и лидер>=90
2411;Жигулевский;Приволжская;441;427;96.83;Трифонов;93.91;явка>=95 и лидер>=90
2412;Жигулевский;Приволжская;407;398;97.79;Трифонов;94.97;"лидер~полка±0.05; явка>=95 и лидер>=90; у оппозиции ровно 1 голос"
2413;Жигулевский;Приволжская;503;487;96.82;Трифонов;94.25;явка>=95 и лидер>=90
2414;Жигулевский;Приволжская;905;886;97.9;Трифонов;95.03;"лидер~полка±0.05; явка>=95 и лидер>=90"
2415;Жигулевский;Приволжская;263;257;97.72;Трифонов;94.94;явка>=95 и лидер>=90
2416;Жигулевский;Приволжская;918;901;98.15;Трифонов;94.45;явка>=95 и лидер>=90
2417;Жигулевский;Приволжская;254;249;98.03;Трифонов;95.18;явка>=95 и лидер>=90
